Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Day of Week ,Time Slot,Ticket Status,Victim Group,Resolution Time
38132,5/7/2024,7/5/2024,08-05-2024 9:34,Kolkata,321,FRAUD,79,F,Other,Other Crime,8,Yes,6/20/2024,Friday,Morning,Solved,Senior,44
38940,6/11/2024,10/6/2024,10-06-2024 22:10,Pune,137,VEHICLE - STOLEN,11,M,Blunt Object,Violent Crime,5,No,,Sunday,Morning,Pending,Minor,N/A
29535,5/15/2023,5/15/2023,16-05-2023 10:41,Ahmedabad,282,ROBBERY,57,F,Blunt Object,Violent Crime,11,No,,Monday,Afternoon,Pending,Adult,N/A
33002,10/8/2023,7/10/2023,07-10-2023 13:09,Kanpur,568,VEHICLE - STOLEN,41,F,Other,Violent Crime,13,No,,Monday,Morning,Pending,Adult,N/A
264,1/13/2020,11/1/2020,12-01-2020 22:04,Kanpur,261,SEXUAL ASSAULT,69,F,Knife,Violent Crime,11,Yes,12/18/2020,Sunday,Afternoon,Solved,Senior,340
17619,1/5/2022,4/1/2022,04-01-2022 22:44,Ahmedabad,170,DOMESTIC VIOLENCE,11,Other,Explosives,Violent Crime,13,Yes,1/26/2022,Friday,Morning,Solved,Minor,21
29737,5/25/2023,5/24/2023,24-05-2023 20:00,Ahmedabad,375,ASSAULT,32,M,None,Violent Crime,18,Yes,6/16/2023,Wednesday,Night,Solved,Adult,22
26564,1/13/2023,11/1/2023,12-01-2023 13:59,Patna,317,IDENTITY THEFT,53,F,Explosives,Violent Crime,11,No,,Wednesday,Afternoon,Pending,Adult,N/A
26700,1/20/2023,1/17/2023,17-01-2023 16:31,Delhi,434,VEHICLE - STOLEN,23,F,Blunt Object,Violent Crime,17,No,,Tuesday,Evening,Pending,Adult,N/A
29518,5/17/2023,5/14/2023,15-05-2023 06:25,Kolkata,301,FIREARM OFFENSE,31,M,Firearm,Fire Accident,11,Yes,6/9/2023,Sunday,Afternoon,Solved,Adult,23
37070,3/25/2024,3/24/2024,25-03-2024 07:18,Delhi,351,HOMICIDE,30,M,Knife,Other Crime,18,No,,Sunday,Night,Pending,Adult,N/A
2001,3/26/2020,3/24/2020,24-03-2020 14:37,Mumbai,427,CYBERCRIME,10,M,Poison,Other Crime,7,Yes,6/13/2020,Tuesday,Night,Solved,Minor,79
36951,3/20/2024,3/19/2024,20-03-2024 07:27,Visakhapatnam,527,ROBBERY,28,M,Explosives,Violent Crime,18,No,,Tuesday,Evening,Pending,Adult,N/A
1328,2/26/2020,2/25/2020,25-02-2020 14:50,Ahmedabad,531,DOMESTIC VIOLENCE,28,F,Blunt Object,Violent Crime,17,No,,Tuesday,Night,Pending,Adult,N/A
13705,7/27/2021,7/25/2021,25-07-2021 16:15,Faridabad,222,HOMICIDE,26,F,Other,Other Crime,13,No,,Sunday,Night,Pending,Adult,N/A
39264,6/25/2024,6/23/2024,24-06-2024 07:46,Surat,194,TRAFFIC VIOLATION,20,M,None,Traffic Fatality,10,Yes,7/2/2024,Sunday,Night,Solved,Adult,7
22278,7/18/2022,7/17/2022,17-07-2022 22:30,Nagpur,332,VANDALISM,20,F,Knife,Other Crime,15,No,,Sunday,Evening,Pending,Adult,N/A
12307,5/28/2021,5/27/2021,28-05-2021 00:56,Kolkata,594,IDENTITY THEFT,76,F,Explosives,Violent Crime,5,No,,Thursday,Night,Pending,Senior,N/A
4098,6/22/2020,6/19/2020,19-06-2020 19:06,Kolkata,398,EXTORTION,58,F,None,Other Crime,3,No,,Friday,Evening,Pending,Adult,N/A
20646,5/11/2022,10/5/2022,10-05-2022 22:42,Bangalore,248,SEXUAL ASSAULT,23,Other,Firearm,Violent Crime,10,No,,Wednesday,Morning,Pending,Adult,N/A
39805,7/18/2024,7/16/2024,16-07-2024 17:22,Visakhapatnam,341,ILLEGAL POSSESSION,13,F,Knife,Other Crime,2,Yes,8/12/2024,Tuesday,Afternoon,Solved,Minor,25
31715,8/15/2023,8/14/2023,14-08-2023 13:55,Jaipur,507,ROBBERY,54,F,Poison,Violent Crime,15,No,,Monday,Afternoon,Pending,Adult,N/A
24974,11/8/2022,6/11/2022,07-11-2022 4:15,Kolkata,571,PUBLIC INTOXICATION,77,F,Poison,Other Crime,4,Yes,11/10/2022,Saturday,Morning,Solved,Senior,2
39686,7/13/2024,11/7/2024,12-07-2024 10:12,Rajkot,151,SEXUAL ASSAULT,39,M,Firearm,Violent Crime,4,No,,Thursday,Afternoon,Pending,Adult,N/A
446,1/22/2020,1/19/2020,19-01-2020 20:08,Rajkot,556,SEXUAL ASSAULT,54,M,None,Violent Crime,6,No,,Sunday,Evening,Pending,Adult,N/A
34782,12/21/2023,12/20/2023,20-12-2023 07:44,Surat,549,ARSON,10,F,Other,Fire Accident,5,Yes,1/9/2024,Wednesday,Evening,Solved,Minor,19
39271,6/26/2024,6/24/2024,24-06-2024 19:21,Mumbai,455,KIDNAPPING,49,F,Other,Other Crime,18,No,,Monday,Night,Pending,Adult,N/A
35001,12/30/2023,12/29/2023,30-12-2023 05:22,Delhi,359,DRUG OFFENSE,59,M,Knife,Other Crime,18,Yes,1/7/2024,Friday,Night,Solved,Adult,8
22360,7/21/2022,7/20/2022,21-07-2022 09:49,Bangalore,474,EXTORTION,60,M,None,Other Crime,9,Yes,10/15/2022,Wednesday,Night,Solved,Senior,86
280,1/13/2020,12/1/2020,13-01-2020 04:19,Ludhiana,217,KIDNAPPING,45,F,Blunt Object,Other Crime,18,Yes,4/7/2020,Tuesday,Afternoon,Solved,Adult,85
38372,5/18/2024,5/17/2024,18-05-2024 07:36,Nagpur,267,CYBERCRIME,13,F,None,Other Crime,9,Yes,7/27/2024,Friday,Evening,Solved,Minor,70
5260,8/8/2020,7/8/2020,08-08-2020 1:45,Kolkata,262,BURGLARY,68,M,Explosives,Other Crime,7,No,,Wednesday,Morning,Pending,Senior,N/A
13216,7/7/2021,4/7/2021,05-07-2021 12:42,Bangalore,404,KIDNAPPING,34,F,None,Other Crime,1,Yes,8/3/2021,Wednesday,Morning,Solved,Adult,27
3299,5/19/2020,5/17/2020,17-05-2020 11:55,Bangalore,264,BURGLARY,27,F,Firearm,Other Crime,10,Yes,9/13/2020,Sunday,Evening,Solved,Adult,117
8380,12/15/2020,12/15/2020,15-12-2020 09:26,Kalyan,480,TRAFFIC VIOLATION,29,F,Other,Traffic Fatality,6,Yes,12/24/2020,Tuesday,Afternoon,Solved,Adult,9
25339,11/24/2022,11/21/2022,22-11-2022 12:03,Hyderabad,542,FRAUD,52,M,Knife,Other Crime,12,No,,Monday,Night,Pending,Adult,N/A
26766,1/22/2023,1/20/2023,21-01-2023 02:44,Lucknow,388,KIDNAPPING,79,F,Other,Other Crime,19,No,,Friday,Night,Pending,Senior,N/A
20288,4/25/2022,4/25/2022,25-04-2022 17:46,Pune,177,VANDALISM,25,F,Blunt Object,Other Crime,4,No,,Monday,Night,Pending,Adult,N/A
39907,7/22/2024,7/20/2024,20-07-2024 19:34,Ahmedabad,574,HOMICIDE,77,F,Other,Other Crime,3,No,,Saturday,Evening,Pending,Senior,N/A
13980,8/5/2021,5/8/2021,05-08-2021 11:53,Delhi,272,ILLEGAL POSSESSION,78,F,Explosives,Other Crime,13,No,,Saturday,Morning,Pending,Senior,N/A
34863,12/24/2023,12/23/2023,24-12-2023 05:13,Mumbai,197,IDENTITY THEFT,65,F,Blunt Object,Violent Crime,9,Yes,3/5/2024,Saturday,Night,Solved,Senior,72
23789,9/20/2022,9/18/2022,18-09-2022 13:44,Mumbai,467,COUNTERFEITING,44,F,Other,Other Crime,12,Yes,10/12/2022,Sunday,Evening,Solved,Adult,22
20807,5/19/2022,5/16/2022,17-05-2022 10:26,Visakhapatnam,175,ASSAULT,38,M,None,Violent Crime,19,No,,Monday,Evening,Pending,Adult,N/A
1742,3/14/2020,3/13/2020,13-03-2020 18:13,Bangalore,264,BURGLARY,49,F,None,Other Crime,17,Yes,9/3/2020,Friday,Afternoon,Solved,Adult,173
35961,2/8/2024,7/2/2024,08-02-2024 4:31,Mumbai,453,ARSON,19,M,Explosives,Fire Accident,13,Yes,2/29/2024,Tuesday,Morning,Solved,Adult,21
11222,4/12/2021,12/4/2021,12-04-2021 17:40,Kalyan,500,EXTORTION,40,F,Poison,Other Crime,3,Yes,6/27/2021,Saturday,Afternoon,Solved,Adult,76
34554,12/13/2023,10/12/2023,11-12-2023 12:55,Mumbai,337,PUBLIC INTOXICATION,41,M,Firearm,Other Crime,12,Yes,12/30/2023,Thursday,Morning,Solved,Adult,17
38080,5/8/2024,5/5/2024,06-05-2024 11:04,Mumbai,275,COUNTERFEITING,34,F,Blunt Object,Other Crime,19,No,,Sunday,Morning,Pending,Adult,N/A
27168,2/7/2023,5/2/2023,06-02-2023 12:19,Kalyan,217,SHOPLIFTING,79,F,Explosives,Other Crime,12,No,,Tuesday,Morning,Pending,Senior,N/A
8405,12/16/2020,12/16/2020,16-12-2020 14:37,Kolkata,491,FRAUD,74,F,Poison,Other Crime,6,No,,Wednesday,Afternoon,Pending,Senior,N/A
38319,5/16/2024,5/15/2024,15-05-2024 19:58,Chennai,111,IDENTITY THEFT,68,F,Poison,Violent Crime,10,Yes,5/30/2024,Wednesday,Afternoon,Solved,Senior,14
4589,7/12/2020,10/7/2020,10-07-2020 23:14,Mumbai,100,BURGLARY,52,F,Poison,Other Crime,1,No,,Wednesday,Morning,Pending,Adult,N/A
40014,7/27/2024,7/25/2024,25-07-2024 10:52,Hyderabad,396,SEXUAL ASSAULT,62,M,Knife,Violent Crime,8,No,,Thursday,Night,Pending,Senior,N/A
37558,4/15/2024,4/13/2024,14-04-2024 17:49,Bangalore,277,IDENTITY THEFT,31,M,None,Violent Crime,9,No,,Saturday,Afternoon,Pending,Adult,N/A
27259,2/10/2023,9/2/2023,10-02-2023 5:37,Chennai,352,EXTORTION,33,Other,Firearm,Other Crime,19,No,,Saturday,Morning,Pending,Adult,N/A
13356,7/12/2021,10/7/2021,11-07-2021 5:55,Bangalore,186,KIDNAPPING,27,F,Blunt Object,Other Crime,5,Yes,8/15/2021,Thursday,Morning,Solved,Adult,34
29129,4/30/2023,4/28/2023,28-04-2023 23:35,Bangalore,531,HOMICIDE,74,M,Other,Other Crime,3,No,,Friday,Night,Pending,Senior,N/A
33776,11/9/2023,8/11/2023,09-11-2023 2:16,Mumbai,317,DRUG OFFENSE,15,F,Explosives,Other Crime,8,No,,Friday,Morning,Pending,Minor,N/A
15353,10/2/2021,1/10/2021,01-10-2021 23:58,Mumbai,337,VEHICLE - STOLEN,21,F,Firearm,Violent Crime,8,No,,Sunday,Morning,Pending,Adult,N/A
38396,5/20/2024,5/18/2024,19-05-2024 14:12,Delhi,281,KIDNAPPING,26,F,Poison,Other Crime,3,Yes,7/16/2024,Saturday,Evening,Solved,Adult,57
20804,5/18/2022,5/16/2022,17-05-2022 01:17,Jaipur,354,DOMESTIC VIOLENCE,40,F,None,Violent Crime,11,Yes,7/2/2022,Monday,Evening,Solved,Adult,45
30780,7/8/2023,6/7/2023,06-07-2023 12:28,Chennai,183,CYBERCRIME,40,F,Other,Other Crime,10,Yes,8/1/2023,Wednesday,Morning,Solved,Adult,24
18273,1/31/2022,1/31/2022,31-01-2022 13:24,Bangalore,466,EXTORTION,22,F,Firearm,Other Crime,4,No,,Monday,Night,Pending,Adult,N/A
9967,2/19/2021,2/19/2021,19-02-2021 08:55,Indore,143,CYBERCRIME,55,M,Other,Other Crime,19,Yes,3/13/2021,Friday,Evening,Solved,Adult,22
36768,3/12/2024,11/3/2024,12-03-2024 7:09,Mumbai,169,VEHICLE - STOLEN,23,M,Other,Violent Crime,8,Yes,5/15/2024,Sunday,Afternoon,Solved,Adult,64
18113,1/25/2022,1/24/2022,25-01-2022 01:31,Bangalore,530,ROBBERY,50,F,None,Violent Crime,16,Yes,5/12/2022,Monday,Night,Solved,Adult,107
31158,7/24/2023,7/22/2023,22-07-2023 08:57,Ahmedabad,496,VEHICLE - STOLEN,32,F,None,Violent Crime,17,No,,Saturday,Night,Pending,Adult,N/A
26286,12/31/2022,12/31/2022,31-12-2022 09:33,Ahmedabad,228,PUBLIC INTOXICATION,72,Other,Explosives,Other Crime,9,No,,Saturday,Night,Pending,Senior,N/A
20216,4/25/2022,4/22/2022,22-04-2022 22:04,Mumbai,370,HOMICIDE,76,Other,Firearm,Other Crime,1,Yes,12/20/2022,Friday,Night,Solved,Senior,239
20430,5/3/2022,1/5/2022,01-05-2022 23:37,Bangalore,153,COUNTERFEITING,43,Other,Knife,Other Crime,16,Yes,6/15/2022,Wednesday,Morning,Solved,Adult,43
21731,6/26/2022,6/24/2022,24-06-2022 14:44,Hyderabad,187,KIDNAPPING,34,Other,Blunt Object,Other Crime,5,Yes,7/21/2022,Friday,Night,Solved,Adult,25
15942,10/28/2021,10/26/2021,26-10-2021 08:52,Mumbai,155,KIDNAPPING,46,M,Explosives,Other Crime,10,Yes,11/11/2021,Tuesday,Night,Solved,Adult,14
30136,6/12/2023,9/6/2023,09-06-2023 17:35,Chennai,567,PUBLIC INTOXICATION,68,M,Blunt Object,Other Crime,3,No,,Wednesday,Morning,Pending,Senior,N/A
15154,9/25/2021,9/23/2021,23-09-2021 18:20,Jaipur,154,FIREARM OFFENSE,70,F,Explosives,Fire Accident,4,Yes,12/9/2021,Thursday,Night,Solved,Senior,75
33533,11/1/2023,10/29/2023,29-10-2023 15:07,Delhi,340,VEHICLE - STOLEN,11,F,None,Violent Crime,2,Yes,1/9/2024,Sunday,Night,Solved,Minor,69
25573,12/2/2022,1/12/2022,02-12-2022 1:12,Nashik,477,ASSAULT,40,Other,Poison,Violent Crime,2,Yes,2/17/2023,Wednesday,Morning,Solved,Adult,77
15593,10/12/2021,11/10/2021,11-10-2021 19:06,Kolkata,318,FIREARM OFFENSE,70,F,Explosives,Fire Accident,7,No,,Wednesday,Morning,Pending,Senior,N/A
12742,6/15/2021,6/14/2021,14-06-2021 21:57,Chennai,346,COUNTERFEITING,37,F,Explosives,Other Crime,19,No,,Monday,Afternoon,Pending,Adult,N/A
70,1/6/2020,3/1/2020,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,Sunday,Morning,Pending,Adult,N/A
13716,7/26/2021,7/25/2021,25-07-2021 19:09,Chennai,457,KIDNAPPING,23,F,Knife,Other Crime,5,Yes,8/26/2021,Sunday,Night,Solved,Adult,31
5726,8/26/2020,8/26/2020,26-08-2020 16:57,Bangalore,189,FRAUD,17,F,Other,Other Crime,8,Yes,11/12/2020,Wednesday,Night,Solved,Minor,78
38189,5/13/2024,10/5/2024,10-05-2024 20:14,Delhi,576,COUNTERFEITING,15,M,Other,Other Crime,1,Yes,6/24/2024,Saturday,Morning,Solved,Minor,42
7293,11/2/2020,10/30/2020,30-10-2020 22:07,Indore,143,IDENTITY THEFT,35,M,None,Violent Crime,16,No,,Friday,Night,Pending,Adult,N/A
24975,11/7/2022,6/11/2022,06-11-2022 22:12,Kolkata,456,DRUG OFFENSE,69,M,Explosives,Other Crime,18,No,,Saturday,Morning,Pending,Senior,N/A
30366,6/21/2023,6/19/2023,19-06-2023 19:45,Ahmedabad,582,DOMESTIC VIOLENCE,74,F,Poison,Violent Crime,16,Yes,8/3/2023,Monday,Evening,Solved,Senior,43
15124,9/23/2021,9/22/2021,22-09-2021 13:51,Chennai,380,COUNTERFEITING,21,F,Firearm,Other Crime,7,No,,Wednesday,Night,Pending,Adult,N/A
37583,4/15/2024,4/14/2024,15-04-2024 10:59,Chennai,198,KIDNAPPING,11,M,Firearm,Other Crime,13,No,,Sunday,Afternoon,Pending,Minor,N/A
20623,5/12/2022,9/5/2022,09-05-2022 9:47,Delhi,464,DOMESTIC VIOLENCE,79,Other,Knife,Violent Crime,3,No,,Monday,Morning,Pending,Senior,N/A
13074,6/28/2021,6/28/2021,29-06-2021 03:50,Mumbai,351,HOMICIDE,27,F,Firearm,Other Crime,19,No,,Monday,Night,Pending,Adult,N/A
11897,5/11/2021,10/5/2021,11-05-2021 12:01,Visakhapatnam,385,FIREARM OFFENSE,29,M,Firearm,Fire Accident,1,No,,Tuesday,Morning,Pending,Adult,N/A
36486,3/1/2024,2/29/2024,29-02-2024 10:04,Kolkata,134,TRAFFIC VIOLATION,25,M,Firearm,Traffic Fatality,10,No,,Thursday,Night,Pending,Adult,N/A
12015,5/16/2021,5/15/2021,16-05-2021 07:42,Srinagar,527,COUNTERFEITING,61,F,None,Other Crime,18,No,,Saturday,Afternoon,Pending,Senior,N/A
18030,1/22/2022,1/21/2022,21-01-2022 16:00,Chennai,523,COUNTERFEITING,60,F,Other,Other Crime,12,Yes,3/31/2022,Friday,Night,Solved,Senior,68
23140,8/23/2022,8/22/2022,22-08-2022 07:48,Pune,295,BURGLARY,54,M,None,Other Crime,9,No,,Monday,Night,Pending,Adult,N/A
18853,2/26/2022,2/24/2022,25-02-2022 06:24,Visakhapatnam,522,IDENTITY THEFT,63,Other,None,Violent Crime,1,No,,Thursday,Night,Pending,Senior,N/A
25433,11/28/2022,11/25/2022,26-11-2022 08:30,Jaipur,428,EXTORTION,13,F,Firearm,Other Crime,18,No,,Friday,Night,Pending,Minor,N/A
11485,4/24/2021,4/23/2021,23-04-2021 13:44,Kolkata,521,EXTORTION,20,F,Poison,Other Crime,1,Yes,5/25/2021,Friday,Night,Solved,Adult,31
21712,6/24/2022,6/23/2022,24-06-2022 05:06,Srinagar,373,TRAFFIC VIOLATION,10,M,Blunt Object,Traffic Fatality,6,Yes,7/1/2022,Thursday,Night,Solved,Minor,7
10789,3/27/2021,3/25/2021,25-03-2021 19:14,Chennai,187,HOMICIDE,25,M,Poison,Other Crime,11,No,,Thursday,Night,Pending,Adult,N/A
38943,6/11/2024,10/6/2024,11-06-2024 5:21,Kanpur,343,KIDNAPPING,78,F,Other,Other Crime,8,Yes,7/15/2024,Sunday,Morning,Solved,Senior,34
33813,11/11/2023,9/11/2023,10-11-2023 1:14,Kolkata,367,HOMICIDE,54,F,Blunt Object,Other Crime,17,Yes,4/1/2025,Monday,Morning,Solved,Adult,507
18941,3/2/2022,2/28/2022,28-02-2022 12:21,Lucknow,563,VANDALISM,73,F,Explosives,Other Crime,5,Yes,4/21/2022,Monday,Night,Solved,Senior,50
12752,6/17/2021,6/15/2021,15-06-2021 10:31,Bangalore,277,ILLEGAL POSSESSION,17,M,Knife,Other Crime,18,Yes,7/31/2021,Tuesday,Afternoon,Solved,Minor,44
5814,8/30/2020,8/30/2020,30-08-2020 09:44,Indore,263,EXTORTION,62,F,None,Other Crime,12,Yes,11/6/2020,Sunday,Night,Solved,Senior,68
5963,9/8/2020,5/9/2020,05-09-2020 12:51,Kolkata,392,SHOPLIFTING,19,F,Explosives,Other Crime,6,No,,Saturday,Morning,Pending,Adult,N/A
34813,12/22/2023,12/21/2023,22-12-2023 00:52,Nagpur,151,BURGLARY,29,F,Firearm,Other Crime,10,No,,Thursday,Night,Pending,Adult,N/A
29165,4/30/2023,4/30/2023,30-04-2023 23:12,Ludhiana,360,ILLEGAL POSSESSION,29,F,Knife,Other Crime,1,No,,Sunday,Night,Pending,Adult,N/A
33982,11/17/2023,11/16/2023,17-11-2023 11:44,Delhi,438,FRAUD,18,F,Other,Other Crime,8,No,,Thursday,Evening,Pending,Adult,N/A
29623,5/22/2023,5/19/2023,19-05-2023 23:29,Pune,405,DOMESTIC VIOLENCE,49,F,Firearm,Violent Crime,19,No,,Friday,Evening,Pending,Adult,N/A
22213,7/17/2022,7/14/2022,14-07-2022 12:59,Bangalore,432,ILLEGAL POSSESSION,47,Other,Knife,Other Crime,17,Yes,8/5/2022,Thursday,Afternoon,Solved,Adult,19
1365,2/29/2020,2/26/2020,27-02-2020 18:31,Bangalore,298,PUBLIC INTOXICATION,26,F,Poison,Other Crime,9,No,,Wednesday,Night,Pending,Adult,N/A
15515,10/10/2021,8/10/2021,09-10-2021 0:37,Ahmedabad,498,BURGLARY,13,M,Firearm,Other Crime,11,No,,Tuesday,Morning,Pending,Minor,N/A
10501,3/14/2021,3/13/2021,14-03-2021 05:30,Chennai,139,SHOPLIFTING,35,F,Explosives,Other Crime,2,No,,Saturday,Afternoon,Pending,Adult,N/A
29646,5/21/2023,5/20/2023,20-05-2023 13:19,Delhi,479,TRAFFIC VIOLATION,44,F,Firearm,Traffic Fatality,8,No,,Saturday,Evening,Pending,Adult,N/A
9164,1/18/2021,1/16/2021,17-01-2021 15:31,Hyderabad,206,DRUG OFFENSE,68,F,Firearm,Other Crime,15,No,,Saturday,Evening,Pending,Senior,N/A
36677,3/10/2024,8/3/2024,08-03-2024 19:53,Mumbai,401,COUNTERFEITING,11,M,Blunt Object,Other Crime,5,Yes,5/22/2024,Saturday,Morning,Solved,Minor,73
1121,2/17/2020,2/16/2020,17-02-2020 03:06,Chennai,241,ASSAULT,33,M,Blunt Object,Violent Crime,18,No,,Sunday,Evening,Pending,Adult,N/A
4442,7/4/2020,4/7/2020,04-07-2020 10:46,Rajkot,339,FRAUD,64,M,None,Other Crime,4,Yes,8/28/2020,Tuesday,Morning,Solved,Senior,55
17415,12/28/2021,12/26/2021,27-12-2021 03:44,Bangalore,577,VEHICLE - STOLEN,44,Other,Other,Violent Crime,17,No,,Sunday,Night,Pending,Adult,N/A
12791,6/18/2021,6/16/2021,17-06-2021 11:31,Mumbai,440,PUBLIC INTOXICATION,37,F,Other,Other Crime,16,Yes,6/22/2021,Wednesday,Evening,Solved,Adult,4
28132,3/20/2023,3/18/2023,18-03-2023 03:20,Pune,282,SEXUAL ASSAULT,76,M,Other,Violent Crime,6,Yes,2/24/2024,Saturday,Evening,Solved,Senior,341
22013,7/6/2022,6/7/2022,06-07-2022 16:33,Delhi,527,ROBBERY,78,Other,Other,Violent Crime,14,No,,Tuesday,Morning,Pending,Senior,N/A
12000,5/16/2021,5/14/2021,15-05-2021 04:39,Delhi,403,HOMICIDE,75,M,Knife,Other Crime,16,No,,Friday,Afternoon,Pending,Senior,N/A
38236,5/13/2024,12/5/2024,13-05-2024 00:36,Kolkata,108,DOMESTIC VIOLENCE,64,F,Other,Violent Crime,18,No,,Thursday,Afternoon,Pending,Senior,N/A
